City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Garwa,IN,72.32,few clouds,24.1833,83.8167,A.PS.D Utsav Garden
337,Inhambane,MZ,74.98,broken clouds,-23.865,35.3833,Oceano
338,San Lorenzo,PY,74.59,scattered clouds,-25.3333,-57.5333,Hotel del Sur
342,Bilma,NE,72.1,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
345,Port Macquarie,AU,75.16,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
349,Kirakira,SB,85.15,clear sky,-10.4544,161.9205,SanBiz Lodge
356,Gamba,GA,74.73,light rain,-2.65,10.0,
358,Bangkalan,ID,89.55,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
364,Umm Lajj,SA,77.05,clear sky,25.0213,37.2685,Moon light Furnished Units
371,Bintulu,MY,86.41,scattered clouds,3.1667,113.0333,900 Boutique INN
373,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Redface Studios Meublés
379,Sao Miguel Do Tapuio,BR,73.65,overcast clouds,-5.5036,-41.3233,Hotel Tropical
386,Luanda,AO,75.2,light rain,-8.8368,13.2343,Hotel Fórum
391,Diplo,PK,83.12,broken clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
395,Hamamatsu,JP,74.01,scattered clouds,34.7,137.7333,Hotel Crown Palais Hamamatsu
396,Olindina,BR,74.32,overcast clouds,-11.3667,-38.3333,Pousada Maria Bonita
397,Hervey Bay,AU,83.03,light rain,-25.2986,152.8535,Shelly Bay Resort
398,Kumo,NG,77.41,overcast clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
401,Pangai,TO,77.11,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
402,Caravelas,BR,72.07,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
409,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
416,Rokupr,SL,73.24,broken clouds,8.6717,-12.395,
417,Alofi,NU,76.89,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
419,Barahona,DO,76.64,broken clouds,18.2085,-71.1008,Hotel Caribe
421,Porbandar,IN,82.27,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
425,Flinders,AU,75.79,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
433,Una,IN,81.68,broken clouds,20.8167,71.0333,Hotel Harbhole
434,Maiduguri,NG,74.16,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
435,Manaure,CO,80.94,few clouds,11.7751,-72.4445,Hotel Palaaima
439,Gigmoto,PH,82.94,overcast clouds,13.7796,124.39,Cj's Travellers Inn
443,Honiara,SB,85.23,broken clouds,-9.4333,159.95,Heritage Park Hotel
