City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Taltal,CL,2021-11-15 16:45:20,-25.4,-70.4833,64.63,68,5,7.45
137,Saint-Philippe,RE,2021-11-15 16:45:46,-21.3585,55.7679,76.59,79,49,9.37
138,Pitimbu,BR,2021-11-15 16:45:47,-7.4706,-34.8086,90.19,64,72,11.36
139,Erzin,TR,2021-11-15 16:45:48,36.9559,36.2,61.52,33,96,3.78
140,Lorengau,PG,2021-11-15 16:45:49,-2.0226,147.2712,80.78,79,100,6.8
141,Buraydah,SA,2021-11-15 16:46:49,26.326,43.975,75.65,24,87,11.36
142,Port-Gentil,GA,2021-11-15 16:43:14,-0.7193,8.7815,84.16,70,75,12.66
143,Saint Cloud,US,2021-11-15 16:46:50,45.5608,-94.1625,31.98,79,90,3.0
144,Te Anau,NZ,2021-11-15 16:43:56,-45.4167,167.7167,43.38,93,100,5.55
145,Coquimbo,CL,2021-11-15 16:43:33,-29.9533,-71.3436,64.83,63,0,7.25
146,Mae Hong Son,TH,2021-11-15 16:46:53,19.3003,97.9685,71.98,93,75,2.04
147,High River,CA,2021-11-15 16:46:20,50.5834,-113.8687,37.11,94,100,7.72
148,Sharjah,AE,2021-11-15 16:46:54,25.3573,55.4033,84.18,31,0,5.75
149,Meulaboh,ID,2021-11-15 16:45:54,4.1363,96.1285,77.31,88,99,3.53
150,Murray Bridge,AU,2021-11-15 16:46:55,-35.1167,139.2667,55.15,72,44,5.08
151,Boa Vista,BR,2021-11-15 16:46:56,2.8197,-60.6733,91.38,43,75,11.5
152,Kalaleh,IR,2021-11-15 16:46:56,37.3807,55.4916,51.4,71,0,4.61
153,Bereda,ES,2021-11-15 16:46:57,43.2686,-7.5406,54.41,89,75,7.63
154,Teya,RU,2021-11-15 16:46:59,60.3778,92.6267,17.56,96,99,2.35
155,Kavieng,PG,2021-11-15 16:46:59,-2.5744,150.7967,82.06,76,97,10.8
156,Champerico,GT,2021-11-15 16:47:00,14.3,-91.9167,90.36,65,33,3.76
157,Yar-Sale,RU,2021-11-15 16:47:01,66.8333,70.8333,5.04,89,93,8.43
158,Tuktoyaktuk,CA,2021-11-15 16:47:01,69.4541,-133.0374,8.6,85,90,9.22
159,Caravelas,BR,2021-11-15 16:45:08,-17.7125,-39.2481,76.98,59,78,10.69
160,Avera,US,2021-11-15 16:47:02,33.194,-82.5271,62.11,27,12,11.32
161,Esperance,AU,2021-11-15 16:43:11,-33.8667,121.9,60.64,51,84,21.59
162,Banda Aceh,ID,2021-11-15 16:47:03,5.5577,95.3222,79.65,83,92,10.38
