City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Kongoussi,BF,13.3258,-1.5347,77.86,21,86,3.15,overcast clouds
312,Narkevychi,UA,49.5172,26.6418,39.25,88,100,7.31,overcast clouds
313,Shitkino,RU,56.3703,98.3543,37.67,62,94,15.35,overcast clouds
314,Dalmeny,CA,52.3334,-106.7679,30.9,74,20,10.36,few clouds
315,Warrnambool,AU,-38.3833,142.4833,57.58,58,90,8.86,overcast clouds
316,Bandarbeyla,SO,9.4942,50.8122,78.64,64,71,9.84,broken clouds
317,Arona,ES,28.0996,-16.681,61.11,61,20,1.01,few clouds
318,Henties Bay,NA,-22.116,14.2845,52.86,89,14,11.41,few clouds
319,Oranjemund,NA,-28.55,16.4333,57.61,84,38,6.76,scattered clouds
320,Sheopur,IN,25.6667,76.7,76.06,37,62,2.39,broken clouds
321,Dabat,ET,12.9842,37.765,53.58,66,64,6.08,broken clouds
322,Ampanihy,MG,-24.7,44.75,81.41,44,18,7.96,few clouds
323,Panaba,MX,21.2833,-88.2667,66.78,75,1,5.3,clear sky
324,Seka,TH,17.9285,103.9552,85.1,53,34,8.68,scattered clouds
325,Bowen,AU,-20.0167,148.2333,89.82,73,21,11.68,few clouds
326,Tateyama,JP,34.9833,139.8667,69.15,54,77,16.37,broken clouds
327,Paris,FR,48.8534,2.3488,42.15,97,75,2.3,broken clouds
328,Isla Mujeres,MX,21.2311,-86.731,64.17,63,0,11.36,clear sky
329,Kenai,US,60.5544,-151.2583,31.03,93,90,4.61,light snow
330,Havelock,US,34.8791,-76.9013,51.93,79,100,7.0,overcast clouds
331,Ahipara,NZ,-35.1667,173.1667,64.36,83,47,5.28,scattered clouds
332,Tantangan,PH,6.615,124.7489,91.49,55,14,2.71,few clouds
333,Ust-Uda,RU,54.1742,103.0304,32.34,67,100,3.89,overcast clouds
334,Chernyshevskiy,RU,63.0128,112.4714,24.55,93,100,10.36,light snow
335,Airai,TL,-8.9266,125.4092,73.0,71,92,0.67,overcast clouds
336,Garwa,IN,24.1833,83.8167,72.32,49,16,3.96,few clouds
337,Inhambane,MZ,-23.865,35.3833,74.98,80,51,1.01,broken clouds
338,San Lorenzo,PY,-25.3333,-57.5333,74.59,69,40,5.01,scattered clouds
339,Merritt,CA,50.1123,-120.7942,36.45,91,82,5.12,broken clouds
340,Shimoda,JP,34.6667,138.95,68.36,63,58,21.14,broken clouds
341,Rawson,AR,-43.3002,-65.1023,59.65,54,100,4.41,overcast clouds
342,Bilma,NE,18.6853,12.9164,72.1,19,30,4.79,scattered clouds
343,Kodinsk,RU,58.6881,99.1844,30.97,95,100,12.26,light snow
344,Loviisa,FI,60.4566,26.2251,34.43,81,100,18.79,overcast clouds
345,Port Macquarie,AU,-31.4333,152.9167,75.16,58,68,9.86,broken clouds
346,Dunedin,NZ,-45.8742,170.5036,64.8,68,58,7.29,broken clouds
